Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
Imagen Biotech,https://www.crunchbase.com/organization/imagen-biotech,"Biotechnology, Health Care, Therapeutics","New York, New York, United States",Imagen Biotech is focused on identifying and developing therapeutics for blinding diseases.,"37,006",http://www.imagenbiotech.com,,contact@imagenbiotech.com,,"David Guyer, Matthew Feinsod",10-Jan,1,Early Stage Venture,10/19/11,"$40,000,000 ",Series A,"$40,000,000 "
Patient I.P.,https://www.crunchbase.com/organization/patient-i-p,"Clinical Trials, Medical, Pharmaceutical","Rochester, New York, United States",Usage of our unique technology enables sites to provide patients with state-of-the-art treatment options.,"37,068",http://patientip.com/,https://www.linkedin.com/company/patient-identification-platform%E2%84%A2-patient-i-p--,contact@patientip.com,(844)845-4413,Michael Margiotta,Nov-50,1,Early Stage Venture,1/25/16,"$2,000,000 ",Series A,"$2,000,000 "
spotflux,https://www.crunchbase.com/organization/spotflux,"Cyber Security, Privacy, Security","Brooklyn, New York, United States","Spotflux encrypts internet traffic and performs cloud-based, real-time calculations to remove tracking cookies and viruses.","37,227",http://www.spotflux.com,http://www.linkedin.com/company/spotflux,info@spotflux.com,15555555555,"Chris Naegelin, Dean Mekkawy",Nov-50,2,M&A,3/7/12,"$1,000,000 ",Series A,"$1,150,000 "
AdExtent,https://www.crunchbase.com/organization/adextent,"Ad Retargeting, Ad Targeting, Advertising, Internet, News","New York, New York, United States",AdExtent provides cutting edge ReTargeting solution to advertisers and agencies.,"37,451",http://www.adextent.com,https://www.linkedin.com/company/adextent,info@adextent.com,,"Ron Pick, Tal Keinan, Tal Muskal",Nov-50,2,Early Stage Venture,9/4/08,"$3,400,000 ",Series A,"$5,100,000 "
RightsFlow,https://www.crunchbase.com/organization/rightsflow,"Accounting, Legal, Music, Publishing, Transaction Processing","New York, New York, United States","RightsFlow offers mechanical licensing, royalty accounting, reporting and payment services for organizations, songwriters and individuals.","38,026",http://www.rightsflow.com,https://www.linkedin.com/company/rightsflow,michael.kauffman@rightsflow.com,,"Benjamin Cockerham, Matt Irvin, Patrick F. Sullivan",Nov-50,1,M&A,8/26/09,"$1,500,000 ",Series A,"$1,500,000 "
"Chequed.com, Inc.",https://www.crunchbase.com/organization/chequed-com,"Human Resources, Information Technology, Software","Saratoga Springs, New York, United States",Chequed.com is a provider of cloud-based Predictive Talent Selection‰ã¢ technology.,"38,569",http://www.chequed.com,http://www.linkedin.com/company/chequed.com,info@chequed.com,,Greg Moran,Nov-50,3,M&A,7/2/14,"$2,450,030 ",Series A,"$4,200,030 "
Public Technologies,https://www.crunchbase.com/organization/noodls,"News, Public Relations, Search Engine","New York, New York, United States",Public (formerly noodls) is the largest public disclosure platform available in the market today.,"39,237",http://www.publicnow.com,,info@publictechnologies.com,,"Filippo Novella, Giacomo Cambiaso",Nov-50,1,Early Stage Venture,3/1/09,"‰âÂ1,000,000",Series A,"‰âÂ1,000,000"
Waywire Networks,https://www.crunchbase.com/organization/magnify,"Online Portals, Publishing, Video","New York, New York, United States","Waywire provides cloud-based video curation solutions for the online publishing, community, and ad network markets.","39,247",http://enterprise.waywire.com,http://www.linkedin.com/company/409978,hey@waywire.con,212-787-5273,"Simon Cavalletto, Steve Rosenbaum",Nov-50,8,Early Stage Venture,6/21/13,"$1,000,000 ",Series B,"$4,584,180 "
CooCoo,https://www.crunchbase.com/organization/coocoo,"E-Commerce, Mobile, Public Transportation, Training, Transportation","Huntington Station, New York, United States",CooCoo provides real-time transit schedules and e-ticketing to commuters.,"39,372",http://www.coocoo.com,,mitch@coocoo.com,631-923-0088,"Brad Beshaw, John J. Tunney III, Ryan Thompson",10-Jan,2,Early Stage Venture,4/1/11,"$1,000,000 ",Series A,"$1,910,000 "
TheFix.com,https://www.crunchbase.com/organization/thefix-com,"News, Publishing","New York, New York, United States",TheFix.com is a website offering alcohol and drug addiction recovery news and information.,"39,490",http://www.thefix.com,,info@thefix.com,1-888-438-3493,"Allison Floam, Joe Schrank, Maer Roshan",Nov-50,2,Early Stage Venture,9/20/11,"$2,400,000 ",Series A,"$2,900,000 "
Hoyos Corporation,https://www.crunchbase.com/organization/hoyos-corporation,"Enterprise Software, Hardware, Identity Management","New York, New York, United States",Hoyos is an identity management technology solution company focused on developing systems for access control and the identity market.,"39,797",http://www.hoyosgroup.com,,,787.961.2007,,10-Jan,1,Early Stage Venture,10/12/10,"$40,000,000 ",Series B,"$40,000,000 "
Therasis,https://www.crunchbase.com/organization/therasis,"Biotechnology, Genetics, Health Diagnostics, Therapeutics","New York, New York, United States",Therasis is a new drug discovery company developing oncology therapeutics for use as single agents or in combination therapy.,"39,965",http://www.therasis.com,,info@therasis.com,212-823-2019,,10-Jan,1,Early Stage Venture,12/8/09,"$12,000,000 ",Series A,"$12,000,000 "
ColorModules,https://www.crunchbase.com/organization/colormodules,"Beauty, Fashion, Search Engine","New York, New York, United States",ColorModules develops a search technology that recommends products to consumers based on their characteristics and preferences.,"40,624",http://www.colormodules.com,,info@colormodules.com,,Asmau Ahmed,Nov-50,1,Early Stage Venture,6/27/12,"$1,300,000 ",Series A,"$1,300,000 "
StreetLib,https://www.crunchbase.com/organization/streetlib,"EBooks, Online Portals, Retail, Web Browsers","Queens, New York, United States",StreetLib offers online services to produce and sell books on all the most relevant online retailers and on your website. No upfront costs.,"40,752",https://www.streetlib.com,https://www.linkedin.com/company/simplicissimus-book-farm-srl,info@streetlib.com,+39 071 097 0502,Antonio Tombolini,Nov-50,2,Early Stage Venture,12/28/12,"‰âÂ2,500,000",Series A,"‰âÂ3,300,000"
ScholarPRO,https://www.crunchbase.com/organization/scholarpro,Search Engine,"New York, New York, United States","ScholarPRO an online platform, enables students to manage the entire scholarship application process from search to submission.","40,833",http://www.scholarpro.com,https://www.linkedin.com/company/scholarpro/,,(781)690-4460,,10-Jan,3,Early Stage Venture,1/1/12,"$1,000,000 ",Series A,"$1,065,000 "
Beezag,https://www.crunchbase.com/organization/beezag,"Advertising, Video","New York, New York, United States",Beezag is at the forefront of data science innovation and its application in today‰Ûªs video advertising arena.,"41,041",http://beezag.com,https://www.linkedin.com/company/genesis-media-llc,inquiries@beezag.com,(646) 350-4417,"Laurent Alhadeff, Richard Smullen",Nov-50,2,Early Stage Venture,1/24/10,"$2,500,000 ",Series A,"$3,250,000 "
Canvas Networks,https://www.crunchbase.com/organization/canvas-networks,"Photography, Social Media","New York, New York, United States",Canvas was an internet remix community.,"41,061",http://canv.as,,,,Christopher Poole,10-Jan,2,Early Stage Venture,6/1/11,"$3,000,000 ",Series A,"$3,625,000 "
Aditi Multimedia,https://www.crunchbase.com/organization/aditi-multimedia,"Content Delivery Network, Digital Media","New York, New York, United States",Aditi Multimedia is a Costa Rican multimedia startup that has created the network of interactive kiosks Kiboo.,"41,648",http://www.kiboo.cr/,,servicioalcliente@kiboo.cr,+506 4000 3222,,Nov-50,3,M&A,11/1/16,,Series B,"$1,000,000 "
Zyptonite,https://www.crunchbase.com/organization/zyptonite,"Software, Video Chat","New York, New York, United States","Zyptonite provides secure and private, decentralized (peer-to-peer) enterprise communication and collaboration software.","41,766",http://www.zyptonite.com,https://www.linkedin.com/company/zyptonite,info@zyptonite.com,,,Nov-50,1,Early Stage Venture,11/14/16,"$1,504,581 ",Series A,"$1,504,581 "
ClearMomentum,https://www.crunchbase.com/organization/clearmomentum,Software,"Canandaigua, New York, United States",ClearMomentum offers equity portfolio management solutions used to eliminate non-value-adding tasks of private company data.,"41,823",http://www.clearmomentum.com,http://www.linkedin.com/company/clearmomentum,sales@clearmomentum.com,585-393-1734,,Nov-50,1,M&A,11/10/09,"$1,000,000 ",Series A,"$1,000,000 "
Celebrations.com,https://www.crunchbase.com/organization/pingg,"Event Management, Events","New York, New York, United States","Celebrations.com is a platform that facilitates party hosting by providing online invitations, e-cards, party ideas, and planning tips.","41,896",http://www.celebrations.com,https://www.linkedin.com/company/628794,mspiritus@pingg.com,(516)237-6087,"Lorien Gabel, Matt Harrop",Nov-50,3,Early Stage Venture,11/3/08,"$2,750,000 ",Series A,"$4,050,000 "
Aristotle Circle,https://www.crunchbase.com/organization/aristotle-circle,"Children, Education, Parenting","New York, New York, United States","Aristotle Circle connects parents to experts in admissions, education and child development.","41,998",http://www.aristotlecircle.com,,info@aristotlecircle.com,,"Suzanne Rheault, Suzanne Starnes",Nov-50,2,Early Stage Venture,4/19/11,"$2,000,000 ",Series B,"$2,450,000 "
Phluant Mobile,https://www.crunchbase.com/organization/phluant,"Advertising, Analytics, Android, iOS, Mobile","New York, New York, United States",Phluant Mobile is a mobile application that provides advertising intelligence and mobile media solutions.,"42,142",http://phluant.com,http://www.linkedin.com/company/phluant-mobile,dbreckling@phluant.com,(415) 734-8978,"David Breckling, David Raphael",Nov-50,1,Early Stage Venture,6/18/10,"$1,500,000 ",Series A,"$1,500,000 "
StarShop LLC,https://www.crunchbase.com/organization/starshop-llc,"Consumer Goods, E-Commerce, Media and Entertainment, Shopping, Social Shopping","New York, New York, United States",celebrity-entertainment e-commerce focused brand,"42,355",http://starshop.com,,,,"Jim Morrison, Marvin Segel",Nov-50,1,Late Stage Venture,8/1/17,"$200,000 ",Series C,"$200,000 "
Stickybits,https://www.crunchbase.com/organization/stickybits,"Mobile, SEO","New York, New York, United States",Stickybits focused on connecting the digital and physical worlds through a social object network.,"42,596",http://www.stickybits.com,,,,"Billy Chasen, Seth Goldstein",Nov-50,2,Early Stage Venture,5/19/10,"$1,600,000 ",Series A,"$1,900,000 "
Playdots,https://www.crunchbase.com/organization/dots,"Mobile, Online Games, Software","New York, New York, United States",Playdots is a mobile gaming studio creating cross platform mobile games and apps.,"42,704",http://www.weplaydots.com,https://www.linkedin.com/company/playdots-inc,support@weplaydots.com,(646)839-8575,"Patrick Moberg, Paul Murphy",Nov-50,1,Early Stage Venture,12/16/14,"$10,200,000 ",Series A,"$10,200,000 "
PayQix,https://www.crunchbase.com/organization/payqix,,"New York, New York, United States","Business, Marketing, and Transactional Automation.","43,637",https://pre.payqix.com/,https://www.linkedin.com/company/payqix/,,,,10-Jan,1,Early Stage Venture,3/9/17,"$11,000,000 ",Series A,"$11,000,000 "
DoodleDeals Inc.,https://www.crunchbase.com/organization/doodledeals-inc,"E-Commerce, Parenting","New York, New York, United States","DoodleDeals is a discovery and daily deal site offering discounts on children‰Ûªs classes, museums, birthday parties, entertainment, and more.","43,691",http://www.doodledeals.com,,caren@doodledeals.com,646-545-2703,Caren Sinclair-Kay,Nov-50,1,M&A,2/1/10,"$1,270,000 ",Series A,"$1,270,000 "
Koa.la,https://www.crunchbase.com/organization/koa-la,"Photo Sharing, Photography","New York, New York, United States",Koala develops a photo-sharing application which can be integrated into smartphone messenger.,"44,227",http://koa.la,,support@albumatic.com,,Adam Ludwin,10-Jan,2,Early Stage Venture,8/1/13,"$4,200,000 ",Series A,"$8,400,000 "
Spock,https://www.crunchbase.com/organization/spock,"Database, Information Services, Search Engine, Web Hosting","Schuyler Lake, New York, United States",Spock is a people and public information search engine.,"44,308",http://www.spock.com,https://www.linkedin.com/company/spock,info@corp.spock.com,(800) 877-3272,"Jaideep Singh, Jay Bhatti",Nov-50,1,M&A,12/1/06,"$7,000,000 ",Series A,"$7,000,000 "
Peatix,https://www.crunchbase.com/organization/peatix,"E-Commerce, Event Management, SaaS","New York, New York, United States","Peatix is a global event registration platform that provides organizers with the tools to create, promote, and sell out events.","44,799",http://peatix.com,http://www.linkedin.com/company/peatix,info@peatix.com,,"Emi Takemura, Naofumi Iwai, Taku Harada, Yuji Fujita",Nov-50,4,Early Stage Venture,3/16/15,"$5,000,000 ",Series B,"$9,615,000 "
Palyon Medical,https://www.crunchbase.com/organization/palyon-medical,"Health Care, Health Diagnostics, Medical Device","New York, New York, United States","Palyon Medical Corporation, a medical device company, develops technologies for the treatment of neurological diseases.","44,915",http://palyonmedical.com,,,661-705-5601,David Present,Nov-50,1,Early Stage Venture,8/10/09,"$24,000,000 ",Series A,"$24,000,000 "
Savveo,https://www.crunchbase.com/organization/savveo,Advertising,"New York, New York, United States","Savveo is an online marketplace enabling advertisers to compare advertising options across channels, and purchase and track campaigns.","44,950",http://www.savveo.com,http://www.linkedin.com/company/2685922,,704-295-0100,"Nabib El-Rahman, Shafi Mustafa",Nov-50,1,Early Stage Venture,8/13/12,"$2,000,000 ",Series A,"$2,000,000 "
Empire Genomics,https://www.crunchbase.com/organization/empire-genomics,"Biotechnology, Genetics, Health Care, Health Diagnostics","Buffalo, New York, United States",Empire Genomics is a leader in the field of molecular diagnostic services for oncology diseases.,"44,955",https://www.empiregenomics.com/,http://www.linkedin.com/company/empire-genomics,,800-715-5880,Norma J. Nowak,Nov-50,2,Early Stage Venture,5/20/16,"$1,750,000 ",Series B,"$2,750,000 "
"ORCA, Inc.",https://www.crunchbase.com/organization/onetxt,"E-Commerce, FinTech","New York, New York, United States","ORCA provides a payment processing alternative for social networks and online games to accept payments, and send marketing messages.","45,453",http://orcaone.com,,admin@ingk.com,(646)794-1364,,Nov-50,1,M&A,6/21/09,"$2,000,000 ",Series A,"$2,000,000 "
Crispy Gamer,https://www.crunchbase.com/organization/crispy-gamer,"Gaming, Journalism, Video Games","New York, New York, United States","Crispy Gamer is an independent video game focused site that features general coverage, reviews, comics, and videos about video games.","45,507",http://www.crispygamer.com,,,212-929-0900,"Andre Srinivasan, Chris Heldman, John Keefer",Nov-50,1,Early Stage Venture,10/27/08,"$8,250,000 ",Series A,"$8,250,000 "
Knee Creations,https://www.crunchbase.com/organization/knee-creations,"Health Care, Medical Device, Therapeutics","New York, New York, United States",Knee Creations is an orthopedic medical device company developing therapeutic solutions for knee osteoarthritis.,"45,573",http://subchondroplasty.com,,customerservice@kneecreations.com,855-727-5818,,Nov-50,3,M&A,12/16/11,"$3,500,000 ",Series B,"$6,500,000 "
Canetic Advisors LLC,https://www.crunchbase.com/organization/canetic-advisors-llc,"FinTech, Impact Investing","New York, New York, United States",Return on Carbon Benchmarking for Impact Investors,"46,124",http://www.caneticadvisors.com,https://www.linkedin.com/company/canetic-advisors/,tony@caneticadvisors.com,415-967-3374,Tony Altmann,Nov-50,1,Early Stage Venture,11/1/17,"$1,000,000 ",Series A,"$1,000,000 "
iTellio,https://www.crunchbase.com/organization/freeatm,"Ad Exchange, Advertising","Long Island City, New York, United States",Data Driven - Place Based Marketing Platform,"46,233",http://itell.io,https://www.linkedin.com/company-beta/10825826,info@itell.io,(800) 609-6189,"Clinton Townsend, Eric Fondren",10-Jan,2,Early Stage Venture,5/20/14,"$745,000 ",Series A,"$895,000 "
TravelMuse,https://www.crunchbase.com/organization/travelmuse,"Guides, Travel, Web Browsers","New York, New York, United States",TravelMuse is a travel planning website that allows users to research and plan their travels on a single interface.,"46,415",http://www.travelmuse.com,,Info@travelmuse.com,,"Eric Wood, Kevin Fliess",Nov-50,3,M&A,6/1/09,"$2,000,000 ",Series B,"$5,600,000 "
PRAXELL,https://www.crunchbase.com/organization/praxell,Payments,"New York, New York, United States",Launch Your Custom Prepaid Card Program.,"46,465",http://praxell.com/,https://www.linkedin.com/company/praxell/,moshe@praxell.com,2126296040,,Nov-50,1,Early Stage Venture,12/31/16,"$8,850,000 ",Series A,"$8,850,000 "
Gust,https://www.crunchbase.com/organization/gust,"Collaboration, Finance, Financial Services, Legal, SaaS, Venture Capital","New York, New York, United States","Gust is the global SaaS platform for entrepreneurs to found, manage and fund new ventures.","46,819",http://gust.com,https://www.linkedin.com/company/140702?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A2826892791431268227361%2CVSRPtargetId%3A140702%2CVSRPcmpt%3Aprimary,info@gust.com,(212)228-8770,David S. Rose,Nov-50,1,Early Stage Venture,1/1/04,,Series A,
The Editorialist,https://www.crunchbase.com/organization/the-editorialist,"E-Commerce, Jewelry, Retail","New York, New York, United States","The Editorialist is an online retailer of luxury shoes, bags, accessories, jewelry, and more.","47,065",http://editorialist.com,,customercare@editorialist.com,888-988-(3348),,Nov-50,1,Early Stage Venture,10/17/13,"$2,000,000 ",Series A,"$2,000,000 "
Motionbox,https://www.crunchbase.com/organization/motionbox,"Video, Video Editing, Video Streaming","New York, New York, United States",Motionbox is a video sharing service providing video format supportåÊandåÊonline spaceåÊfor sharing high-definition personal videos.,"47,241",http://www.motionbox.com,,support@motionbox.com,,"Andrew Wason, Chris O'Brien, Jason  Parkin",Nov-50,3,M&A,1/14/09,"$6,000,000 ",Series C,"$17,200,000 "
Lakewood Amedex,https://www.crunchbase.com/organization/lakewood-amedex,"Biopharma, Biotechnology, Health Care","Florida, New York, United States","Lakewood-Amedex Inc., a development-stage biopharmaceutical company,","47,526",http://www.lakewoodamedex.com/,,info@lakewoodamedex.com,(941)225-2511,,Nov-50,1,Late Stage Venture,6/18/14,"$5,500,000 ",Series C,"$5,500,000 "
Promosome,https://www.crunchbase.com/organization/promosome,"Biotechnology, Health Care, Pharmaceutical","New York, New York, United States",Promosome is specialized in technologies related to the regulation of protein synthesis through translation initiation.,"47,571",http://www.promosome.com,,info@promosome.com,508-845-2255,William J. Gedale,Nov-50,2,Late Stage Venture,1/25/11,"$4,100,000 ",Series C,"$13,700,000 "
OkCupid,https://www.crunchbase.com/organization/okcupid,"Apps, Dating, Social Network","New York, New York, United States",OkCupid is an online dating website that uses quizzes and multiple-choice questions to find a match for the user.,"47,640",http://www.okcupid.com,http://www.linkedin.com/company/okcupid.com,,,"Chris Coyne, Christian Rudder, Max Krohn, Sam Yagan",Nov-50,1,M&A,1/17/07,"$6,000,000 ",Series A,"$6,000,000 "
YouAre.TV,https://www.crunchbase.com/organization/youare-tv,"Digital Entertainment, TV, Video","New York, New York, United States",Simple live streaming plus video call-in,"47,852",http://www.youaretv.com,,josh@youare.tv,19176568874,Josh Weinstein,Nov-50,2,Early Stage Venture,8/25/10,"$1,150,000 ",Series A,"$1,150,000 "
ImaCor,https://www.crunchbase.com/organization/imacor,Biotechnology,"Uniondale, New York, United States","ImaCor offers ClariTEE probe and Zura imaging system, for hemodynamic management, echocardiography and transesophageal echocardiography.","47,990",http://www.imacorinc.com,http://www.linkedin.com/company/imacor-inc,info@imacorinc.com,5163930969,Scott L. Roth,Nov-50,1,Early Stage Venture,2/21/09,"$5,450,000 ",Series A,"$5,450,000 "
SheFinds Media,https://www.crunchbase.com/organization/white-cat-media,Shopping,"New York, New York, United States","SheFinds Media is a network of websites for women that features online discounts and bargains for fashion, beauty, and home products.","48,437",http://www.shefinds.com,,hello@shefinds.com,,,Nov-50,1,Early Stage Venture,11/24/08,"$1,300,000 ",Series A,"$1,300,000 "
WEbook,https://www.crunchbase.com/organization/webook,"Publishing, Social Media","New York, New York, United States","WEbook is an online community for writers to share work, and give and receive feedback from other writers and readers.","48,664",http://www.webook.com,,info@webook.com,646-453-8575,Itai Kohavi,Nov-50,2,M&A,9/17/08,"$5,000,000 ",Series B,"$5,000,000 "
Royalty Media,https://www.crunchbase.com/organization/royalty-media-857a,"Music, Photo Sharing, Photography, Video","Buffalo, New York, United States","Royalty Media offers an online platform that enables its users to find and buy images, vectors, videos, and music.","48,916",http://royaltymedia.com,,hello@royaltymedia.com,,,Nov-50,3,Early Stage Venture,2/11/17,"$12,400,000 ",Series A,"$19,800,000 "
Mirimus,https://www.crunchbase.com/organization/mirimus,"Biotechnology, Genetics, Life Science","Cold Spring Harbor, New York, United States",Mirimus is a producer of custom genetically-engineered mouse models with reverse gene silencing capabilities.,"49,052",http://mirimus.com,https://www.linkedin.com/company/mirimus-inc-,info@mirimus.com,516) 882-7111,,Nov-50,1,Early Stage Venture,3/3/11,"$2,000,000 ",Series A,"$2,000,000 "
MIKA,https://www.crunchbase.com/organization/mika,"Fashion, Online Portals, Shopping","New York, New York, United States",MIKA is a provider of complete looks curated by expert stylists from the best brands.,"49,971",http://mikalook.com,,hi@mikalook.com,(212) 242-0412,Sani Sanilevich,Nov-50,2,Early Stage Venture,2/15/13,"$1,200,000 ",Series A,"$1,700,000 "
CenterPoint Media,https://www.crunchbase.com/organization/centerpoint-media,Publishing,"New York, New York, United States",CenterPoint Media is a performance-based advertising agency.,"49,975",http://centerpointmedia.com/,https://www.linkedin.com/company/centerpoint-media,info@centerpointmedia.com,+1 (866) 809-9177,Paul  Roberts,Nov-50,1,Early Stage Venture,4/30/18,"$50,000 ",Series A,"$50,000 "
Profitably,https://www.crunchbase.com/organization/profitably,"Analytics, Web Apps, Web Browsers","New York, New York, United States",Profitably is a web application that analyzes and interprets QuickBooks data to generate a list of recommendations for business improvement.,"50,877",http://www.profitably.com,https://www.linkedin.com/company/873603,,347-926-3279,"Adam Neary, Francis Hwang",Nov-50,3,Early Stage Venture,12/21/12,"$88,888 ",Series B,"$1,488,888 "
Population Diagnostics,https://www.crunchbase.com/organization/population-diagnostics,"Biotechnology, Genetics, Health Diagnostics","Melville, New York, United States",Population Diagnostics is focused on the research of human genetics to develop DNA-based diagnostics and personalized medicine tests.,"50,897",http://populationdiagnostics.com,,info@populationdiagnostics.com,516-316-5895,"Eli Hatchwell, Jim Chinitz, Peggy Eis",10-Jan,1,Early Stage Venture,8/29/11,"$5,360,344 ",Series A,"$5,360,344 "
Minyanville,https://www.crunchbase.com/organization/minyanville,"Digital Media, Financial Exchanges, News","New York, New York, United States","Minyanville operates financial news portals for active traders, individual investors, and families with kids.","51,535",http://www.minyanville.com,http://www.linkedin.com/company/minyanville-media-inc,social@minyanville.com,212-991-6200,Todd Harrison,Nov-50,1,Early Stage Venture,5/16/09,"$2,200,000 ",Series A,"$2,200,000 "
S CAP,https://www.crunchbase.com/organization/s-cap-consultancy,"Biotechnology, Oil and Gas","New York, New York, United States","S CAP is an impact investor focusing on CSR to bring about a social change in the Environmental, Food & Biotech industries.","51,776",http://www.scapadvisors.com/,https://www.linkedin.com/company/scap-consultancy,bizplan@scapadvisors.com,,"Kunal Sethi, Saira Sethi",10-Jan,1,Early Stage Venture,12/30/14,"$350,000 ",Series B,"$350,000 "
Kinetic Global Markets,https://www.crunchbase.com/organization/kinetic-trading-strategies,Analytics,"New York, New York, United States",Kinetic Global Markets applies computational finance techniques to massive amounts of textual data to extract semantic information.,"51,975",http://www.kinetictradingllc.com,,,,Roger Ehrenberg,10-Jan,1,Early Stage Venture,12/31/10,"$2,999,000 ",Series A,"$2,999,000 "
QWiPS,https://www.crunchbase.com/organization/qwips,"Apps, Audio, Social Media","New York, New York, United States","QWiPS is a social voice platform for adding and sharing voice to photos, Tweets and Facebook posts.","52,301",http://www.qwips.com,,info@qwips.com,,Jeffrey Stier,10-Jan,1,Early Stage Venture,10/11/11,"$1,250,000 ",Series A,"$1,250,000 "
Widetronix,https://www.crunchbase.com/organization/widetronix,"Manufacturing, National Security, Semiconductor","Ithaca, New York, United States",Widetronix develops and commercializes lifelong ultra-low power sensor platforms.,"52,410",http://www.widetronix.com,http://www.linkedin.com/company/widetronix-inc.,jgreene@widetronix.com,(607) 330-4752,"Jonathan  Greene, Michael Spencer",10-Jan,5,Early Stage Venture,4/17/15,"$1,170,080 ",Series A,"$2,454,147 "
"IQTaxi, Inc.",https://www.crunchbase.com/organization/iq-taxi,"Software, Wireless","Astoria, New York, United States",IQTaxi developes specialized telematics solutions for the Taxi industry.,"52,443",http://www.iqtaxi.com,https://www.linkedin.com/company/iqtaxi-inc,info@iqtaxi.com,+30 231 020 8100,,Nov-50,1,Early Stage Venture,6/1/14,"$500,000 ",Series A,"$500,000 "
Tantalineå¨,https://www.crunchbase.com/organization/tantaline,Service Industry,"Central Islip, New York, United States","Tantaline, through their tantalum vapor technology, produces corrosion resistant metals for valves, fittings, and custom products.","53,089",http://www.tantaline.com,http://www.linkedin.com/company/tantaline-a-s,AMERICA@tantaline.com,(888)268-8586,Bo Gillesberg,Nov-50,2,M&A,8/4/11,"$3,600,000 ",Series B,"$3,600,000 "
Robotgalaxy,https://www.crunchbase.com/organization/robotgalaxy,"Media and Entertainment, Retail, Robotics","New York, New York, United States",Robot Galaxy is a mall-based retail and entertainment company allowing children to build their own personalized robots.,"53,597",http://www.robotgalaxy.com,,,877-784-7464,,Nov-50,2,Early Stage Venture,9/16/08,"$5,000,000 ",Series B,"$12,000,000 "
Say2eat,https://www.crunchbase.com/organization/say2eat,"Artificial Intelligence, Food and Beverage, Machine Learning, Messaging, Natural Language Processing, Retail Technology, SaaS","New York, New York, United States"," Say2eat helps multi-unit restaurant brands increase direct online sales, consumer loyalty, and retention","54,142",http://www.say2eat.com,,info@say2eat.com,(470)729-2328,"Ilya Kritsmer, Li-ran Navon",Nov-50,3,Early Stage Venture,6/12/18,,Series A,
FlyOnWall,https://www.crunchbase.com/organization/livelens,Apps,"New York, New York, United States",FlyOnWall previously known as Livelens,"54,239",http://flyonwall.net,,,,Max Bluvband,Nov-50,2,Early Stage Venture,5/20/15,"$3,000,000 ",Series B,"$5,500,000 "
GARWOOD MEDICAL DEVICES,https://www.crunchbase.com/organization/garwood-medical-devices,"Manufacturing, Medical, Medical Device","Buffalo, New York, United States","Garwood Medical Devices, LLC is an R&D company with two patent-pending medical devices in development","55,356",http://garwoodmedical.com/,https://www.linkedin.com/company/garwwod-medical,wbacon@garwoodmedical.com,(716)570-7700,,10-Jan,1,Early Stage Venture,5/1/16,"$3,600,000 ",Series A,"$3,600,000 "
Tracked.com,https://www.crunchbase.com/organization/tracked-com,"Analytics, Communications Infrastructure, Information Services","New York, New York, United States","Tracked.com gathers, organizes and analyzes information, communications and connections about companies, industries and businesses.","55,383",http://tracked.com,,,347-416-6527,Michael Yavonditte,Nov-50,2,Early Stage Venture,7/1/09,"$6,500,000 ",Series A,"$11,500,000 "
Panvidea,https://www.crunchbase.com/organization/panvidea,"Cloud Computing, Video","New York, New York, United States",Panvidea is engaged in the development and commercialization of entertainment and advertising content for various digital platforms.,"55,696",http://www.panvidea.com,,,212-967-9613,Chris Cali,Nov-50,1,M&A,3/19/10,"$2,700,000 ",Series A,"$2,700,000 "
Naadam,https://www.crunchbase.com/organization/naadam,,"New York, New York, United States","Naadam is an American clothing company specializing in affordable, luxury cashmere products.","56,291",https://www.naadamcashmere.com,,,844-453-5085,,Nov-50,3,Early Stage Venture,6/4/18,,Series A,
Sentiment Alpha,https://www.crunchbase.com/organization/sentiment-alpha,"Finance, Impact Investing, Social Media","Hicksville, New York, United States",Sentiment Alpha capital management is an investment management firm.,"56,930",http://www.sentimentalpha.com/,,info@sentimentalpha.com,,,10-Jan,2,Late Stage Venture,7/1/14,"$410,000 ",Series C,"$2,160,000 "
BobbyPin,https://www.crunchbase.com/organization/bobbypin,"Leisure, Tourism, Travel","Brooklyn, New York, United States",Keep track of your favorite places and share them with friends.,"57,721",http://www.bobbypin.co,https://www.linkedin.com/company/bobbypin,,,Avi Millman,10-Jan,3,Early Stage Venture,11/1/12,"$2,000,000 ",Series A,"$2,225,000 "
Transparency Life Sciences,https://www.crunchbase.com/organization/transparency-life-sciences,Pharmaceutical,"New York, New York, United States",Transparency Life Sciences is a world's first drug development services company based on open innovation.,"57,905",http://transparencyls.com/,https://www.linkedin.com/company-beta/2528001/,info@transparencyls.com,(917) 355-9234,"Marc Foster, Tomasz  Sablinski",10-Jan,1,Early Stage Venture,2/15/18,"$5,000,000 ",Series A,"$5,000,000 "
prollie,https://www.crunchbase.com/organization/prollie,"Analytics, Search Engine, Social Media","New York, New York, United States",prollie offers a platform that analyses its users social media presence and finds people to connect with according to their interests.,"58,573",http://www.prollie.com,,info@prollie.com,,"Mike Fabbri, Red Fabbri",10-Jan,1,Early Stage Venture,12/13/12,"$500,000 ",Series A,"$500,000 "
